x,y,radiation
1.7764e-15,0.0,0.25
1.7764e-15,3.0,0.15
-5.3291e-15,6.0,0.09
0.0,9.0,0.08
0.0,12.0,0.06
-3.5527e-15,15.0,0.00
-1.7764e-15,18.0,0.02
-3.5527e-15,21.0,0.01
-1.7764e-15,24.0,0.00
3.0,0.0,0.19
3.0,3.0,0.04
3.0,6.0,0.04
3.0,9.0,0.00
3.0,12.0,0.00
3.0,15.0,0.00
3.0,18.0,0.01
3.0,21.0,0.00
3.0,24.0,0.00
6.0,0.0,0.17
6.0,3.0,0.02
6.0,6.0,0.02
6.0,9.0,0.01
6.0,12.0,0.00
6.0,15.0,0.03
6.0,18.0,0.00
6.0,21.0,0.00
6.0,24.0,0.00
9.0,-1.4211e-14,0.12
9.0,3.0,0.00
9.0,6.0,0.00
9.0,9.0,0.00
9.0,12.0,0.06
9.0,15.0,0.00
9.0,18.0,0.01
9.0,21.0,0.00
9.0,24.0,0.00
12.0,-1.4211e-14,0.12
12.0,3.0,0.01
12.0,6.0,0.04
12.0,9.0,0.00
12.0,12.0,0.00
12.0,15.0,0.01
12.0,18.0,0.00
12.0,21.0,0.00
12.0,24.0,0.00
15.0,0.0,0.20
15.0,3.0,0.06
15.0,6.0,0.03
15.0,9.0,0.00
15.0,12.0,0.00
15.0,15.0,0.00
15.0,18.0,0.00
15.0,21.0,0.00
15.0,24.0,0.00
18.0,0.0,0.17
18.0,3.0,0.00
18.0,6.0,0.01
18.0,9.0,0.03
18.0,12.0,0.00
18.0,15.0,0.00
18.0,18.0,0.00
18.0,21.0,0.00
18.0,24.0,0.00
21.0,-7.1054e-15,0.19
21.0,3.0,0.02
21.0,6.0,0.02
21.0,9.0,0.00
21.0,12.0,0.04
21.0,15.0,0.03
21.0,18.0,0.00
21.0,21.0,0.00
21.0,24.0,0.00
24.0,-1.4211e-14,0.15
24.0,3.0,0.00
24.0,6.0,0.01
24.0,9.0,0.03
24.0,12.0,0.00
24.0,15.0,0.00
24.0,18.0,0.00
24.0,21.0,0.00
24.0,24.0,0.00
27.0,0.0,0.21
27.0,3.0,0.02
27.0,6.0,0.01
27.0,9.0,0.00
27.0,12.0,0.00
27.0,15.0,0.00
27.0,18.0,0.00
27.0,21.0,0.00
27.0,24.0,0.00
30.0,-1.4211e-14,0.26
30.0,3.0,0.00
30.0,6.0,0.07
30.0,9.0,0.02
30.0,12.0,0.01
30.0,15.0,0.00
30.0,18.0,0.00
30.0,21.0,0.00
30.0,24.0,0.00
33.0,-1.4211e-14,0.16
33.0,3.0,0.01
33.0,6.0,0.00
33.0,9.0,0.00
33.0,12.0,0.00
33.0,15.0,0.00
33.0,18.0,0.00
33.0,21.0,0.00
33.0,24.0,0.00
36.0,-1.4211e-14,0.16
36.0,3.0,0.00
36.0,6.0,0.00
36.0,9.0,0.03
36.0,12.0,0.00
36.0,15.0,0.00
36.0,18.0,0.00
36.0,21.0,0.00
36.0,24.0,0.00
39.0,-1.4211e-14,0.16
39.0,3.0,0.00
39.0,6.0,0.00
39.0,9.0,0.00
39.0,12.0,0.00
39.0,15.0,0.01
39.0,18.0,0.00
39.0,21.0,0.00
39.0,24.0,0.00
42.0,-7.1054e-15,-1.0
42.0,3.0,-1.0
42.0,6.0,-1.0
42.0,9.0,-1.0
42.0,12.0,0.00
42.0,15.0,0.00
42.0,18.0,0.03
42.0,21.0,0.00
42.0,24.0,0.00
45.0,-7.1054e-15,-1.0
45.0,3.0,-1.0
45.0,6.0,-1.0
45.0,9.0,-1.0
45.0,12.0,0.00
45.0,15.0,0.00
45.0,18.0,0.00
45.0,21.0,0.00
45.0,24.0,0.00
48.0,0.0,-1.0
48.0,3.0,-1.0
48.0,6.0,-1.0
48.0,9.0,-1.0
48.0,12.0,0.01
48.0,15.0,0.04
48.0,18.0,0.03
48.0,21.0,0.00
48.0,24.0,0.00
51.0,0.0,-1.0
51.0,3.0,-1.0
51.0,6.0,-1.0
51.0,9.0,-1.0
51.0,12.0,0.00
51.0,15.0,0.00
51.0,18.0,0.03
51.0,21.0,0.00
51.0,24.0,0.00
54.0,-1.4211e-14,0.18
54.0,3.0,0.00
54.0,6.0,0.00
54.0,9.0,0.01
54.0,12.0,0.00
54.0,15.0,0.00
54.0,18.0,0.01
54.0,21.0,0.00
54.0,24.0,0.00
57.0,-1.4211e-14,0.16
57.0,3.0,0.00
57.0,6.0,0.00
57.0,9.0,0.00
57.0,12.0,0.00
57.0,15.0,0.00
57.0,18.0,0.00
57.0,21.0,0.00
57.0,24.0,0.00
60.0,0.0,0.10
60.0,3.0,0.02
60.0,6.0,0.00
60.0,9.0,0.00
60.0,12.0,0.00
60.0,15.0,0.00
60.0,18.0,0.00
60.0,21.0,0.00
60.0,24.0,0.00
63.0,0.0,0.17
63.0,3.0,0.03
63.0,6.0,0.00
63.0,9.0,0.00
63.0,12.0,0.00
63.0,15.0,0.00
63.0,18.0,0.00
63.0,21.0,0.00
63.0,24.0,0.02
66.0,-1.4211e-14,0.15
66.0,3.0,0.00
66.0,6.0,0.01
66.0,9.0,0.00
66.0,12.0,0.00
66.0,15.0,0.02
66.0,18.0,0.00
66.0,21.0,0.00
66.0,24.0,0.00
69.0,-2.1316e-14,0.06
69.0,3.0,0.00
69.0,6.0,0.00
69.0,9.0,0.05
69.0,12.0,0.02
69.0,15.0,0.00
69.0,18.0,0.00
69.0,21.0,0.02
69.0,24.0,0.02
72.0,-1.4211e-14,0.23
72.0,3.0,0.00
72.0,6.0,0.03
72.0,9.0,0.00
72.0,12.0,0.00
72.0,15.0,0.00
72.0,18.0,0.00
72.0,21.0,0.00
72.0,24.0,0.02
75.0,-2.1316e-14,0.19
75.0,3.0,0.02
75.0,6.0,0.05
75.0,9.0,0.00
75.0,12.0,0.02
75.0,15.0,0.04
75.0,18.0,0.06
75.0,21.0,0.04
75.0,24.0,0.00
78.0,-1.4211e-14,0.28
78.0,3.0,0.12
78.0,6.0,0.22
78.0,9.0,0.22
78.0,12.0,0.23
78.0,15.0,0.18
78.0,18.0,0.18
78.0,21.0,0.12
78.0,24.0,0.21
